Date,Open,High,Low,Close,Volume,OpenInterest
2017-08-17,301.13000000,312.18000000,298.00000000,302.00000000,7030.71034000,0.0
2017-08-18,302.00000000,311.79000000,283.94000000,293.96000000,9537.84646000,0.0
2017-08-19,293.31000000,299.90000000,278.00000000,290.91000000,2146.19773000,0.0
2017-08-20,289.41000000,300.53000000,282.85000000,299.10000000,2510.13871000,0.0
2017-08-21,299.10000000,346.52000000,294.60000000,323.29000000,5219.44542000,0.0
2017-08-22,321.04000000,330.41000000,144.21000000,309.80000000,7956.35088000,0.0
2017-08-23,312.25000000,324.99000000,309.41000000,315.74000000,8665.72569000,0.0
2017-08-24,315.74000000,328.04000000,314.01000000,323.42000000,6753.27192000,0.0
2017-08-25,323.42000000,338.28000000,323.42000000,327.24000000,7125.96962000,0.0
2017-08-26,327.24000000,335.44000000,323.41000000,330.79000000,4877.68521000,0.0
2017-08-27,332.18000000,348.13000000,330.73000000,348.13000000,4635.43715000,0.0
2017-08-28,348.11000000,351.00000000,331.95000000,346.00000000,4279.18170000,0.0
2017-08-29,347.00000000,377.60000000,346.00000000,374.70000000,3032.13425000,0.0
2017-08-30,374.70000000,393.71000000,362.05000000,385.93000000,4446.59608000,0.0
2017-08-31,384.64000000,389.36000000,377.78000000,384.79000000,4435.86855000,0.0
2017-09-01,386.44000000,394.39000000,383.18000000,388.46000000,4198.68434000,0.0
2017-09-02,388.58000000,394.32000000,320.08000000,343.14000000,8240.32724000,0.0
2017-09-03,343.56000000,367.28000000,320.08000000,341.77000000,5253.62211000,0.0
2017-09-04,339.29000000,344.55000000,267.94000000,283.77000000,6737.81061000,0.0
2017-09-05,286.81000000,321.52000000,235.55000000,312.09000000,8344.41924000,0.0
2017-09-06,313.29000000,336.34000000,312.09000000,335.00000000,5486.30988000,0.0
2017-09-07,335.01000000,342.50000000,320.17000000,334.49000000,3103.89745000,0.0
2017-09-08,334.49000000,335.10000000,272.00000000,302.99000000,4915.75693000,0.0
2017-09-09,300.01000000,307.00000000,281.66000000,296.74000000,2740.58822000,0.0
2017-09-10,296.72000000,302.78000000,261.03000000,293.50000000,4156.45099000,0.0
2017-09-11,293.51000000,304.98000000,285.21000000,297.30000000,4829.64647000,0.0
2017-09-12,297.78000000,316.46000000,286.01000000,293.96000000,5176.31402000,0.0
2017-09-13,293.93000000,294.50000000,257.05000000,276.91000000,6451.22836000,0.0
2017-09-14,275.76000000,283.77000000,215.00000000,215.21000000,12601.95676000,0.0
2017-09-15,217.00000000,270.93000000,192.00000000,253.00000000,14223.89530000,0.0
2017-09-16,255.99000000,271.81000000,235.51000000,249.31000000,10362.06011000,0.0
2017-09-17,249.32000000,264.39000000,239.02000000,257.55000000,4614.53337000,0.0
2017-09-18,257.53000000,306.22000000,257.11000000,294.57000000,4125.97051000,0.0
2017-09-19,296.00000000,300.00000000,277.41000000,284.00000000,1869.90852000,0.0
2017-09-20,284.01000000,294.00000000,275.91000000,282.00000000,1060.56734000,0.0
2017-09-21,285.10000000,287.00000000,252.10000000,257.00000000,1912.55583000,0.0
2017-09-22,258.00000000,272.97000000,253.01000000,264.00000000,1464.51250000,0.0
2017-09-23,259.99000000,286.23000000,255.11000000,285.93000000,2824.33572000,0.0
2017-09-24,286.50000000,294.61000000,275.00000000,282.00000000,5575.54422000,0.0
2017-09-25,282.00000000,299.00000000,281.34000000,294.42000000,5870.48035000,0.0
2017-09-26,294.42000000,296.81000000,286.24000000,287.90000000,4566.92804000,0.0
2017-09-27,289.91000000,313.00000000,286.13000000,309.74000000,5518.10382000,0.0
2017-09-28,309.81000000,311.81000000,296.89000000,302.44000000,6600.90922000,0.0
2017-09-29,302.44000000,303.00000000,274.00000000,292.22000000,11089.19902000,0.0
2017-09-30,292.62000000,307.49000000,292.22000000,304.36000000,4020.60795000,0.0
2017-10-01,305.13000000,306.00000000,294.00000000,303.95000000,5060.05758000,0.0
2017-10-02,303.94000000,305.00000000,295.00000000,296.50000000,3710.83747000,0.0
2017-10-03,298.15000000,301.99000000,283.18000000,292.48000000,5546.85702000,0.0
2017-10-04,292.47000000,297.97000000,288.00000000,291.99000000,4014.88792000,0.0
2017-10-05,290.00000000,297.44000000,285.53000000,294.81000000,3412.39016000,0.0
2017-10-06,294.78000000,310.80000000,293.78000000,310.80000000,3541.02359000,0.0
2017-10-07,309.90000000,318.50000000,303.60000000,311.01000000,2165.79076000,0.0
2017-10-08,311.08000000,317.07000000,309.00000000,311.07000000,2960.93198000,0.0
2017-10-09,311.13000000,312.13000000,286.65000000,297.19000000,4885.37863000,0.0
2017-10-10,297.35000000,308.56000000,293.00000000,298.64000000,6749.27468000,0.0
2017-10-11,300.88000000,305.50000000,298.02000000,304.01000000,3724.68630000,0.0
2017-10-12,304.01000000,310.00000000,302.71000000,303.99000000,7827.75596000,0.0
2017-10-13,303.52000000,353.96000000,297.00000000,337.96000000,17925.36585000,0.0
2017-10-14,337.96000000,349.80000000,335.00000000,342.00000000,7731.96469000,0.0
2017-10-15,342.00000000,348.00000000,316.17000000,337.96000000,10011.34708000,0.0
2017-10-16,337.50000000,354.00000000,332.78000000,335.19000000,8663.47097000,0.0
2017-10-17,335.18000000,336.58000000,312.65000000,315.19000000,8146.74356000,0.0
2017-10-18,315.19000000,318.00000000,284.68000000,309.70000000,12908.04540000,0.0
2017-10-19,311.52000000,315.00000000,300.00000000,308.66000000,8678.74739000,0.0
2017-10-20,308.66000000,311.18000000,302.00000000,304.51000000,8739.31764000,0.0
2017-10-21,304.51000000,305.34000000,290.00000000,298.94000000,8591.63121000,0.0
2017-10-22,298.99000000,306.99000000,290.00000000,293.79000000,7173.06893000,0.0
2017-10-23,293.78000000,294.60000000,272.20000000,281.09000000,9658.78404000,0.0
2017-10-24,282.27000000,310.00000000,275.50000000,297.38000000,14066.67924000,0.0
2017-10-25,295.43000000,300.00000000,281.00000000,294.49000000,9703.09261000,0.0
2017-10-26,294.10000000,299.76000000,291.03000000,294.71000000,7813.02717000,0.0
2017-10-27,294.72000000,298.10000000,292.03000000,296.33000000,6272.14802000,0.0
2017-10-28,296.14000000,297.00000000,290.10000000,291.87000000,5848.86589000,0.0
2017-10-29,291.86000000,309.40000000,291.86000000,305.00000000,9019.13315000,0.0
2017-10-30,305.00000000,316.00000000,302.10000000,307.25000000,8946.12026000,0.0
2017-10-31,305.95000000,309.99000000,304.01000000,304.90000000,7640.41182000,0.0
2017-11-01,304.89000000,305.90000000,286.34000000,287.01000000,9843.16660000,0.0
2017-11-02,287.30000000,293.00000000,274.73000000,283.12000000,13423.85720000,0.0
2017-11-03,283.12000000,307.00000000,282.00000000,304.08000000,8194.03465000,0.0
2017-11-04,304.09000000,304.99000000,292.11000000,298.04000000,7828.41744000,0.0
2017-11-05,298.10000000,302.14000000,293.13000000,295.53000000,6638.42119000,0.0
2017-11-06,295.19000000,305.58000000,290.11000000,297.97000000,7515.50103000,0.0
2017-11-07,297.25000000,303.52000000,287.00000000,291.78000000,9418.57881000,0.0
2017-11-08,291.31000000,320.00000000,290.02000000,303.02000000,15961.85772000,0.0
2017-11-09,303.60000000,329.00000000,299.50000000,317.87000000,11151.29946000,0.0
2017-11-10,318.50000000,322.65000000,285.82000000,293.50000000,15597.16557000,0.0
2017-11-11,293.52000000,318.00000000,291.91000000,310.02000000,10850.16279000,0.0
2017-11-12,310.87000000,316.99000000,281.01000000,305.24000000,21123.15319000,0.0
2017-11-13,304.00000000,318.88000000,303.70000000,312.99000000,15551.67434000,0.0
2017-11-14,313.00000000,337.54000000,312.94000000,335.61000000,17709.22270000,0.0
2017-11-15,335.60000000,339.00000000,324.00000000,331.33000000,15597.16131000,0.0
2017-11-16,330.98000000,334.75000000,321.41000000,331.49000000,14145.71696000,0.0
2017-11-17,331.49000000,334.60000000,323.84000000,331.23000000,18042.02544000,0.0
2017-11-18,331.20000000,349.90000000,326.01000000,346.66000000,14361.49730000,0.0
2017-11-19,346.66000000,373.56000000,343.07000000,354.15000000,19397.74898000,0.0
2017-11-20,355.15000000,372.50000000,353.90000000,367.42000000,18277.01940000,0.0
2017-11-21,367.42000000,375.50000000,350.02000000,362.12000000,26237.64398000,0.0
2017-11-22,362.12000000,384.84000000,359.00000000,380.65000000,18121.58484000,0.0
2017-11-23,380.63000000,425.00000000,370.02000000,405.00000000,25409.00111000,0.0
2017-11-24,405.03000000,475.00000000,392.80000000,469.00000000,30398.35831000,0.0
2017-11-25,467.57000000,484.47000000,450.00000000,461.82000000,21428.63117000,0.0
2017-11-26,461.00000000,465.00000000,436.14000000,462.84000000,21691.11759000,0.0
2017-11-27,462.84000000,486.94000000,453.00000000,472.31000000,23761.11416000,0.0
2017-11-28,472.32000000,477.50000000,453.50000000,466.17000000,23967.24816000,0.0
2017-11-29,466.17000000,515.00000000,385.00000000,421.70000000,51313.49571000,0.0
2017-11-30,421.92000000,460.00000000,387.01000000,427.43000000,45184.22265000,0.0
2017-12-01,428.05000000,465.97000000,413.74000000,457.51000000,33072.21995000,0.0
2017-12-02,457.53000000,471.91000000,445.00000000,457.63000000,25796.14000000,0.0
2017-12-03,457.31000000,485.90000000,440.11000000,460.30000000,24490.05997000,0.0
2017-12-04,460.30000000,470.98000000,445.00000000,466.67000000,23182.65949000,0.0
2017-12-05,466.66000000,468.67000000,445.21000000,452.26000000,25387.11695000,0.0
2017-12-06,452.26000000,455.10000000,400.00000000,411.01000000,38638.76036000,0.0
2017-12-07,413.50000000,427.61000000,375.01000000,406.33000000,41343.73269000,0.0
2017-12-08,406.52000000,456.78000000,390.00000000,442.56000000,41064.60305000,0.0
2017-12-09,442.56000000,488.00000000,426.40000000,460.00000000,41918.34044000,0.0
2017-12-10,460.00000000,460.05000000,403.20000000,427.35000000,34919.25938000,0.0
2017-12-11,427.35000000,512.00000000,427.35000000,508.70000000,29763.16644000,0.0
2017-12-12,508.44000000,639.27000000,494.89000000,620.00000000,59387.02259000,0.0
2017-12-13,622.00000000,705.69000000,539.93000000,683.99000000,57694.18773000,0.0
2017-12-14,683.98000000,747.60000000,630.50000000,679.76000000,60919.26902000,0.0
2017-12-15,679.76000000,689.00000000,594.60000000,674.95000000,39778.16165000,0.0
2017-12-16,673.75000000,712.00000000,669.22000000,682.81000000,26866.05330000,0.0
2017-12-17,681.80000000,728.00000000,680.33000000,707.64000000,31398.44760000,0.0
2017-12-18,707.62000000,798.88000000,638.00000000,784.00000000,45673.70777000,0.0
2017-12-19,784.00000000,864.90000000,729.01000000,798.00000000,69423.62125000,0.0
2017-12-20,798.00000000,828.00000000,661.00000000,790.21000000,72526.28416000,0.0
2017-12-21,794.62000000,845.99000000,705.98000000,782.41000000,78222.53998000,0.0
2017-12-22,784.00000000,796.00000000,504.99000000,635.97000000,154630.49482000,0.0
2017-12-23,635.15000000,714.99000000,627.97000000,640.34000000,79001.05634000,0.0
2017-12-24,640.33000000,667.64000000,563.49000000,658.00000000,95431.94156000,0.0
2017-12-25,659.40000000,744.00000000,599.99000000,714.95000000,78544.84102000,0.0
2017-12-26,713.12000000,750.00000000,712.56000000,750.00000000,60052.47905000,0.0
2017-12-27,750.00000000,766.05000000,693.18000000,739.89000000,51339.27820000,0.0
2017-12-28,739.89000000,744.93000000,645.88000000,707.89000000,72679.61288000,0.0
2017-12-29,709.50000000,757.87000000,703.00000000,733.99000000,64028.12647000,0.0
2017-12-30,732.90000000,735.00000000,635.82000000,681.06000000,89879.99994000,0.0
2017-12-31,680.01000000,740.00000000,672.86000000,733.98000000,62628.24458000,0.0
2018-01-01,733.01000000,763.55000000,716.80000000,754.99000000,53909.25885000,0.0
2018-01-02,754.99000000,899.50000000,749.06000000,855.28000000,113257.78355000,0.0
2018-01-03,855.13000000,950.01000000,810.00000000,934.03000000,89041.45688000,0.0
2018-01-04,934.03000000,1009.72000000,890.01000000,940.00000000,102894.47384000,0.0
2018-01-05,940.00000000,1045.00000000,930.00000000,959.30000000,97374.01630000,0.0
2018-01-06,958.00000000,1017.56000000,950.00000000,1004.11000000,71954.27895000,0.0
2018-01-07,1003.71000000,1125.00000000,999.90000000,1123.09000000,65278.81957000,0.0
2018-01-08,1123.09000000,1239.18000000,910.00000000,1133.18000000,158831.54798000,0.0
2018-01-09,1133.18000000,1326.50000000,1104.85000000,1291.00000000,118702.88684000,0.0
2018-01-10,1291.00000000,1440.00000000,1201.10000000,1247.00000000,160185.01290000,0.0
2018-01-11,1249.03000000,1332.49000000,1021.00000000,1138.93000000,194546.29387000,0.0
2018-01-12,1136.45000000,1288.50000000,1069.01000000,1253.87000000,93763.47261000,0.0
2018-01-13,1253.87000000,1427.01000000,1252.00000000,1388.02000000,75893.43201000,0.0
2018-01-14,1388.10000000,1391.89000000,1220.89000000,1347.00000000,98391.19585000,0.0
2018-01-15,1347.99000000,1383.13000000,1258.12000000,1271.00000000,69236.70476000,0.0
2018-01-16,1268.67000000,1275.01000000,780.00000000,1000.00000000,343889.36509000,0.0
2018-01-17,999.99000000,1075.51000000,755.00000000,1000.00000000,436333.67326000,0.0
2018-01-18,1000.00000000,1075.20000000,924.21000000,994.00000000,294545.71207000,0.0
2018-01-19,993.30000000,1079.00000000,941.00000000,1032.50000000,167954.11253000,0.0
2018-01-20,1032.50000000,1165.40000000,1031.00000000,1152.75000000,123352.58362000,0.0
2018-01-21,1150.37000000,1152.69000000,998.00000000,1049.00000000,175031.00789000,0.0
2018-01-22,1049.00000000,1090.15000000,908.00000000,993.00000000,185212.52002000,0.0
2018-01-23,993.00000000,1030.00000000,909.00000000,980.00000000,160159.63958000,0.0
2018-01-24,981.20000000,1074.00000000,953.09000000,1061.00000000,134257.79470000,0.0
2018-01-25,1060.34000000,1115.00000000,1030.26000000,1056.52000000,119415.93495000,0.0
2018-01-26,1055.29000000,1082.00000000,986.00000000,1051.03000000,145113.63800000,0.0
2018-01-27,1051.03000000,1127.99000000,1032.20000000,1118.99000000,96894.33839000,0.0
2018-01-28,1118.99000000,1277.00000000,1112.00000000,1251.96000000,143510.73586000,0.0
2018-01-29,1251.96000000,1258.89000000,1161.65000000,1177.01000000,105292.76808000,0.0
2018-01-30,1177.01000000,1186.85000000,1051.00000000,1085.50000000,155278.55404000,0.0
2018-01-31,1084.63000000,1135.00000000,1029.00000000,1124.81000000,100372.03783000,0.0
2018-02-01,1125.96000000,1164.99000000,981.00000000,1041.94000000,203355.29052000,0.0
2018-02-02,1041.89000000,1047.20000000,783.67000000,922.30000000,377375.22874000,0.0
2018-02-03,923.67000000,998.00000000,851.00000000,971.00000000,160037.88129000,0.0
2018-02-04,971.00000000,975.00000000,789.00000000,823.56000000,186446.03160000,0.0
2018-02-05,821.60000000,862.47000000,634.94000000,697.92000000,365516.52899000,0.0
2018-02-06,697.93000000,798.00000000,570.10000000,779.25000000,648944.42040000,0.0
2018-02-07,779.99000000,849.00000000,714.18000000,754.00000000,356403.44410000,0.0
2018-02-08,753.19000000,786.93000000,751.00000000,781.66000000,10516.26190000,0.0
2018-02-09,781.66000000,882.20000000,781.66000000,877.00000000,95447.67289000,0.0
2018-02-10,876.30000000,911.20000000,800.00000000,851.15000000,214818.06768000,0.0
2018-02-11,851.15000000,857.00000000,768.28000000,808.99000000,189323.40800000,0.0
2018-02-12,808.58000000,877.56000000,807.46000000,866.66000000,143586.93121000,0.0
2018-02-13,866.39000000,871.00000000,820.00000000,841.57000000,110305.93537000,0.0
2018-02-14,841.57000000,924.99000000,841.30000000,919.09000000,150342.85558000,0.0
2018-02-15,919.09000000,946.66000000,895.59000000,924.55000000,155637.78524000,0.0
2018-02-16,924.55000000,948.48000000,901.36000000,938.67000000,115540.16349000,0.0
2018-02-17,938.60000000,974.00000000,933.48000000,969.99000000,110091.03618000,0.0
2018-02-18,969.99000000,978.50000000,897.00000000,911.00000000,160129.79518000,0.0
2018-02-19,911.00000000,956.22000000,906.04000000,938.11000000,80099.49534000,0.0
2018-02-20,939.17000000,961.00000000,873.00000000,882.99000000,120056.67502000,0.0
2018-02-21,882.99000000,908.88000000,812.87000000,835.89000000,176200.55151000,0.0
2018-02-22,836.35000000,871.96000000,786.60000000,801.49000000,137561.85113000,0.0
2018-02-23,801.47000000,885.00000000,785.99000000,851.60000000,154507.41338000,0.0
2018-02-24,851.59000000,875.00000000,805.00000000,833.94000000,89311.57940000,0.0
2018-02-25,833.92000000,849.50000000,813.18000000,841.19000000,59431.26474000,0.0
2018-02-26,841.46000000,882.00000000,833.00000000,867.98000000,74911.46560000,0.0
2018-02-27,867.98000000,897.49000000,860.69000000,870.11000000,63487.68425000,0.0
2018-02-28,871.84000000,891.00000000,850.30000000,853.50000000,53620.45209000,0.0
2018-03-01,853.50000000,879.96000000,848.65000000,870.63000000,43785.00503000,0.0
2018-03-02,870.63000000,876.22000000,850.00000000,856.28000000,39436.26006000,0.0
2018-03-03,856.27000000,870.78000000,852.30000000,856.02000000,34170.29420000,0.0
2018-03-04,856.51000000,868.00000000,836.24000000,866.66000000,29735.01829000,0.0
2018-03-05,866.61000000,871.75000000,847.20000000,849.84000000,30567.79813000,0.0
2018-03-06,849.81000000,853.18000000,803.01000000,813.11000000,48658.06883000,0.0
2018-03-07,813.31000000,826.20000000,718.40000000,749.90000000,109013.28380000,0.0
2018-03-08,749.02000000,772.07000000,684.00000000,695.46000000,76312.77819000,0.0
2018-03-09,695.48000000,727.92000000,640.00000000,723.71000000,116545.37303000,0.0
2018-03-10,723.65000000,745.00000000,673.06000000,680.58000000,63012.67972000,0.0
2018-03-11,680.58000000,735.00000000,659.15000000,720.85000000,73967.35869000,0.0
2018-03-12,721.00000000,740.50000000,676.31000000,697.11000000,67732.85988000,0.0
2018-03-13,696.52000000,713.76000000,680.00000000,689.94000000,55735.18315000,0.0
2018-03-14,690.16000000,703.54000000,585.00000000,610.10000000,89904.25415000,0.0
2018-03-15,610.10000000,621.12000000,570.00000000,608.83000000,94426.72453000,0.0
2018-03-16,608.83000000,625.30000000,584.15000000,599.05000000,64720.20994000,0.0
2018-03-17,599.03000000,609.26000000,544.00000000,546.95000000,68022.45920000,0.0
2018-03-18,547.98000000,560.00000000,450.00000000,537.00000000,248817.22600000,0.0
2018-03-19,537.39000000,560.00000000,515.80000000,556.88000000,184798.77062000,0.0
2018-03-20,556.88000000,567.87000000,515.00000000,557.00000000,135426.91549000,0.0
2018-03-21,557.00000000,590.52000000,545.11000000,559.17000000,117019.17321000,0.0
2018-03-22,559.15000000,578.60000000,516.00000000,539.92000000,111106.19916000,0.0
2018-03-23,539.78000000,544.72000000,506.71000000,543.03000000,106416.06746000,0.0
2018-03-24,543.20000000,545.99000000,518.63000000,520.22000000,87710.78945000,0.0
2018-03-25,521.17000000,536.00000000,512.00000000,523.74000000,71903.17130000,0.0
